,production,imports,exports
2016-01-01 00:00:00,4728.1220703125,5025.0234,2828.392
2016-01-01 01:00:00,4586.255859375,5124.355,2676.68
2016-01-01 02:00:00,4558.94384765625,5370.4507,3006.3928
2016-01-01 03:00:00,4495.6201171875,4802.9893,2622.868
2016-01-01 04:00:00,4536.3671875,4614.355,2524.803
2016-01-01 05:00:00,4557.096191406251,4614.853,2770.045
2016-01-01 06:00:00,4458.0283203125,4641.4683,2838.418
2016-01-01 07:00:00,4421.687988281251,4787.3857,2890.9531
2016-01-01 08:00:00,4514.013183593751,4632.4077,2694.542
2016-01-01 09:00:00,4587.365234375,4450.979,2535.9722
2016-01-01 10:00:00,4680.131835937499,4232.539,2320.79
2016-01-01 11:00:00,4759.825195312499,4233.947,1969.072
2016-01-01 12:00:00,4719.11474609375,4073.1978,1899.9409
2016-01-01 13:00:00,4721.4189453125,4315.219,2294.1567
2016-01-01 14:00:00,4659.96875,4265.9497,2324.234
2016-01-01 15:00:00,4762.570312500001,4247.667,2304.554
2016-01-01 16:00:00,5428.82421875,4210.051,2625.907
2016-01-01 17:00:00,5407.3388671875,4706.401,2992.058
2016-01-01 18:00:00,5330.395996093751,5264.5303,3581.187
2016-01-01 19:00:00,4967.1728515625,5375.061,3450.164
2016-01-01 20:00:00,4659.1953125,5671.6777,3508.862
2016-01-01 21:00:00,4584.77587890625,5406.808,2984.476
2016-01-01 22:00:00,4645.905761718749,5239.7188,3018.979
2016-01-01 23:00:00,4425.843750000001,5080.937,2801.815
2016-01-02 00:00:00,4492.324218749999,5196.926,2852.5972
2016-01-02 01:00:00,4475.43115234375,4996.695,2577.515
2016-01-02 02:00:00,4447.73095703125,4858.024,2452.9548
2016-01-02 03:00:00,4406.39697265625,4832.118,2693.6138
2016-01-02 04:00:00,4452.574218749999,4817.2603,2676.594
2016-01-02 05:00:00,4451.59716796875,4659.6787,2545.163
2016-01-02 06:00:00,4559.7822265625,4744.2764,2926.1448
2016-01-02 07:00:00,4715.9990234375,4944.5884,3196.4958
2016-01-02 08:00:00,4821.087890625,4902.1714,3113.977
2016-01-02 09:00:00,5021.89208984375,4877.8447,3081.143
2016-01-02 10:00:00,5003.731933593749,4734.166,2757.2961
2016-01-02 11:00:00,4862.862792968749,4640.727,2382.4102
2016-01-02 12:00:00,4853.05712890625,4660.112,2310.7358
2016-01-02 13:00:00,4887.669921875,4586.646,2300.393
2016-01-02 14:00:00,4959.41015625,4416.004,2283.894
2016-01-02 15:00:00,5132.7138671875,4556.878,2437.116
2016-01-02 16:00:00,5682.825195312499,4646.107,2743.359
2016-01-02 17:00:00,5742.7392578125,4894.108,3014.688
