,AT,sum
2016-01-01 00:00:00,2825.2899453311143,2825.2899453311143
2016-01-01 01:00:00,2749.667512648223,2749.667512648223
2016-01-01 02:00:00,2678.2899610901613,2678.2899610901613
2016-01-01 03:00:00,2613.707290358504,2613.707290358504
2016-01-01 04:00:00,2622.7026741850864,2622.7026741850864
2016-01-01 05:00:00,2695.3825335149572,2695.3825335149572
2016-01-01 06:00:00,2787.182572900531,2787.182572900531
2016-01-01 07:00:00,2740.1699823756157,2740.1699823756157
2016-01-01 08:00:00,2981.4949702792424,2981.4949702792424
2016-01-01 09:00:00,3010.7426710743416,3010.7426710743416
2016-01-01 10:00:00,3307.447780637252,3307.447780637252
2016-01-01 11:00:00,3766.995305041782,3766.995305041782
2016-01-01 12:00:00,3557.767165287394,3557.767165287394
2016-01-01 13:00:00,3096.177372452042,3096.177372452042
2016-01-01 14:00:00,3072.554682747752,3072.554682747752
2016-01-01 15:00:00,3913.704745269824,3913.704745269824
2016-01-01 16:00:00,4543.01029023266,4543.01029023266
2016-01-01 17:00:00,4596.0674996134,4596.0674996134
2016-01-01 18:00:00,4480.902135691911,4480.902135691911
2016-01-01 19:00:00,4449.990157991087,4449.990157991087
2016-01-01 20:00:00,3819.035236335023,3819.035236335023
2016-01-01 21:00:00,3593.609835681637,3593.609835681637
2016-01-01 22:00:00,2767.042564490694,2767.042564490694
2016-01-01 23:00:00,2757.737641774049,2757.737641774049
2016-01-02 00:00:00,2691.4750172694485,2691.4750172694485
2016-01-02 01:00:00,2635.869928578318,2635.869928578318
2016-01-02 02:00:00,2737.8576819444365,2737.8576819444365
2016-01-02 03:00:00,2791.972681771966,2791.972681771966
2016-01-02 04:00:00,3037.889942364407,3037.889942364407
2016-01-02 05:00:00,3386.1896320274145,3386.1896320274145
2016-01-02 06:00:00,3638.8247655428295,3638.8247655428295
2016-01-02 07:00:00,3935.537534879119,3935.537534879119
2016-01-02 08:00:00,4142.480343859295,4142.480343859295
2016-01-02 09:00:00,4295.31727126009,4295.31727126009
2016-01-02 10:00:00,4362.7727321504235,4362.7727321504235
2016-01-02 11:00:00,4489.319815704704,4489.319815704704
2016-01-02 12:00:00,4479.365305909874,4479.365305909874
2016-01-02 13:00:00,4567.0449998905415,4567.0449998905415
2016-01-02 14:00:00,4653.601694198409,4653.601694198409
2016-01-02 15:00:00,4932.187475806219,4932.187475806219
2016-01-02 16:00:00,6003.335409137215,6003.335409137215
2016-01-02 17:00:00,6411.085400114638,6411.085400114638
2016-01-02 18:00:00,5723.060158399791,5723.060158399791
2016-01-02 19:00:00,5114.152281931708,5114.152281931708
2016-01-02 20:00:00,4688.605122827992,4688.605122827992
2016-01-02 21:00:00,4165.985293911712,4165.985293911712
2016-01-02 22:00:00,3874.8198516608168,3874.8198516608168
2016-01-02 23:00:00,3914.039638510828,3914.039638510828
2016-01-03 00:00:00,3844.64723304231,3844.64723304231
2016-01-03 01:00:00,3669.7449576647323,3669.7449576647323
2016-01-03 02:00:00,3581.1095556487535,3581.1095556487535
2016-01-03 03:00:00,3517.1499601629444,3517.1499601629444
2016-01-03 04:00:00,3483.305362931324,3483.305362931324
2016-01-03 05:00:00,3511.710065989117,3511.710065989117
2016-01-03 06:00:00,3685.9299247086274,3685.9299247086274
2016-01-03 07:00:00,3742.599928713184,3742.599928713184
2016-01-03 08:00:00,3829.374959540498,3829.374959540498
2016-01-03 09:00:00,4057.0823143707753,4057.0823143707753
2016-01-03 10:00:00,3996.8728687225102,3996.8728687225102
2016-01-03 11:00:00,4081.0118070077056,4081.0118070077056
2016-01-03 12:00:00,3981.619697139921,3981.619697139921
2016-01-03 13:00:00,3906.612309840979,3906.612309840979
2016-01-03 14:00:00,3808.6375403150478,3808.6375403150478
2016-01-03 15:00:00,4205.38279025136,4205.38279025136
2016-01-03 16:00:00,5734.744522138778,5734.744522138778
2016-01-03 17:00:00,6336.785529822979,6336.785529822979
2016-01-03 18:00:00,6478.08294782732,6478.08294782732
2016-01-03 19:00:00,5659.564604493957,5659.564604493957
2016-01-03 20:00:00,5344.17756726388,5344.17756726388
2016-01-03 21:00:00,5312.057381865142,5312.057381865142
2016-01-03 22:00:00,5180.317439507926,5180.317439507926
2016-01-03 23:00:00,5236.365176933486,5236.365176933486
2016-01-04 00:00:00,5221.707721240804,5221.707721240804
2016-01-04 01:00:00,5253.270362350951,5253.270362350951
2016-01-04 02:00:00,5217.400162111986,5217.400162111986
2016-01-04 03:00:00,5281.94984573191,5281.94984573191
2016-01-04 04:00:00,5490.7179506223765,5490.7179506223765
2016-01-04 05:00:00,6200.054797637484,6200.054797637484
2016-01-04 06:00:00,8015.727875144723,8015.727875144723
2016-01-04 07:00:00,8862.586450830244,8862.586450830244
2016-01-04 08:00:00,8334.01272185527,8334.01272185527
2016-01-04 09:00:00,8308.08776907967,8308.08776907967
2016-01-04 10:00:00,8134.875038845967,8134.875038845967
2016-01-04 11:00:00,8508.587856792732,8508.587856792732
2016-01-04 12:00:00,8013.1805713481635,8013.1805713481635
2016-01-04 13:00:00,7924.985184535063,7924.985184535063
2016-01-04 14:00:00,7749.402188393039,7749.402188393039
2016-01-04 15:00:00,7935.938521240129,7935.938521240129
2016-01-04 16:00:00,8250.10178521361,8250.10178521361
2016-01-04 17:00:00,7823.827233816085,7823.827233816085
2016-01-04 18:00:00,6843.612718299069,6843.612718299069
2016-01-04 19:00:00,5921.5922817800165,5921.5922817800165
2016-01-04 20:00:00,4969.720034800799,4969.720034800799
2016-01-04 21:00:00,4707.809828267903,4707.809828267903
2016-01-04 22:00:00,4014.0779759035895,4014.0779759035895
2016-01-04 23:00:00,3378.7875594113807,3378.7875594113807
2016-01-05 00:00:00,3239.6375563515207,3239.6375563515207
2016-01-05 01:00:00,3097.5799830027217,3097.5799830027217
2016-01-05 02:00:00,3113.965036595715,3113.965036595715
2016-01-05 03:00:00,3118.2025323228763,3118.2025323228763
2016-01-05 04:00:00,3153.8373607202466,3153.8373607202466
2016-01-05 05:00:00,4431.710095753872,4431.710095753872
2016-01-05 06:00:00,5717.182013102237,5717.182013102237
2016-01-05 07:00:00,6185.312425070862,6185.312425070862
2016-01-05 08:00:00,6121.310903913644,6121.310903913644
2016-01-05 09:00:00,6571.189545569853,6571.189545569853
2016-01-05 10:00:00,6538.1867479200355,6538.1867479200355
2016-01-05 11:00:00,6201.914866373818,6201.914866373818
2016-01-05 12:00:00,5948.651937046066,5948.651937046066
2016-01-05 13:00:00,5363.852836934427,5363.852836934427
2016-01-05 14:00:00,5739.835260154158,5739.835260154158
2016-01-05 15:00:00,6419.884894400569,6419.884894400569
2016-01-05 16:00:00,7860.942540317818,7860.942540317818
2016-01-05 17:00:00,7771.777672693782,7771.777672693782
2016-01-05 18:00:00,7315.8551762329635,7315.8551762329635
2016-01-05 19:00:00,5976.399894229389,5976.399894229389
2016-01-05 20:00:00,4550.887206626785,4550.887206626785
2016-01-05 21:00:00,4283.1173902604105,4283.1173902604105
2016-01-05 22:00:00,3902.5869469458507,3902.5869469458507
2016-01-05 23:00:00,3705.8876972991743,3705.8876972991743
2016-01-06 00:00:00,3420.102584066144,3420.102584066144
2016-01-06 01:00:00,3257.8471865815636,3257.8471865815636
2016-01-06 02:00:00,3269.0147589206563,3269.0147589206563
2016-01-06 03:00:00,3310.0626507294764,3310.0626507294764
2016-01-06 04:00:00,3264.80265973522,3264.80265973522
2016-01-06 05:00:00,3860.669417694528,3860.669417694528
2016-01-06 06:00:00,4152.322977968279,4152.322977968279
2016-01-06 07:00:00,4172.125093492229,4172.125093492229
2016-01-06 08:00:00,4403.6041648490545,4403.6041648490545
2016-01-06 09:00:00,4549.454437905603,4549.454437905603
2016-01-06 10:00:00,5136.8522917628,5136.8522917628
2016-01-06 11:00:00,5409.900568501286,5409.900568501286
2016-01-06 12:00:00,5132.460163707421,5132.460163707421
2016-01-06 13:00:00,4877.010620410225,4877.010620410225
2016-01-06 14:00:00,4866.320302387883,4866.320302387883
2016-01-06 15:00:00,5449.6153710317285,5449.6153710317285
2016-01-06 16:00:00,6312.632557868809,6312.632557868809
2016-01-06 17:00:00,7312.648226651911,7312.648226651911
2016-01-06 18:00:00,6235.367390946887,6235.367390946887
2016-01-06 19:00:00,4722.557189031037,4722.557189031037
2016-01-06 20:00:00,4421.490259436499,4421.490259436499
2016-01-06 21:00:00,4371.382885739832,4371.382885739832
2016-01-06 22:00:00,4018.7606691691817,4018.7606691691817
2016-01-06 23:00:00,3422.7472475789905,3422.7472475789905
2016-01-07 00:00:00,3399.862681129759,3399.862681129759
2016-01-07 01:00:00,3373.662539293335,3373.662539293335
2016-01-07 02:00:00,3443.6750705854993,3443.6750705854993
2016-01-07 03:00:00,3410.4651616183414,3410.4651616183414
2016-01-07 04:00:00,3623.1604477833334,3623.1604477833334
2016-01-07 05:00:00,4762.194856117236,4762.194856117236
2016-01-07 06:00:00,7018.40891461289,7018.40891461289
2016-01-07 07:00:00,7639.62483580234,7639.62483580234
2016-01-07 08:00:00,7873.613495889971,7873.613495889971
2016-01-07 09:00:00,7946.29046120384,7946.29046120384
2016-01-07 10:00:00,7588.542291573521,7588.542291573521
2016-01-07 11:00:00,7482.775268784997,7482.775268784997
2016-01-07 12:00:00,7571.924354836221,7571.924354836221
2016-01-07 13:00:00,6896.169748686836,6896.169748686836
2016-01-07 14:00:00,6613.953209179271,6613.953209179271
2016-01-07 15:00:00,6495.365097591005,6495.365097591005
2016-01-07 16:00:00,7421.861970934928,7421.861970934928
2016-01-07 17:00:00,7960.519303796388,7960.519303796388
2016-01-07 18:00:00,6883.408934697038,6883.408934697038
2016-01-07 19:00:00,6230.836703690795,6230.836703690795
2016-01-07 20:00:00,4700.957889944771,4700.957889944771
2016-01-07 21:00:00,4481.407308280135,4481.407308280135
2016-01-07 22:00:00,4092.889836671601,4092.889836671601
2016-01-07 23:00:00,4113.880292463197,4113.880292463197
2016-01-08 00:00:00,4071.460154525829,4071.460154525829
2016-01-08 01:00:00,4028.3199368952023,4028.3199368952023
2016-01-08 02:00:00,4076.6427050108914,4076.6427050108914
2016-01-08 03:00:00,4088.702697750755,4088.702697750755
2016-01-08 04:00:00,4312.844910494871,4312.844910494871
2016-01-08 05:00:00,4984.2823447656165,4984.2823447656165
2016-01-08 06:00:00,6076.174933322689,6076.174933322689
2016-01-08 07:00:00,5942.840666288518,5942.840666288518
2016-01-08 08:00:00,5979.362614116225,5979.362614116225
2016-01-08 09:00:00,5706.12219714054,5706.12219714054
2016-01-08 10:00:00,5746.167742825409,5746.167742825409
2016-01-08 11:00:00,5667.460197830392,5667.460197830392
2016-01-08 12:00:00,5649.821045936665,5649.821045936665
2016-01-08 13:00:00,5851.515440267422,5851.515440267422
2016-01-08 14:00:00,6178.027735234602,6178.027735234602
2016-01-08 15:00:00,6760.092583523624,6760.092583523624
2016-01-08 16:00:00,8042.707267295295,8042.707267295295
2016-01-08 17:00:00,8293.300264100992,8293.300264100992
2016-01-08 18:00:00,6944.417209312618,6944.417209312618
2016-01-08 19:00:00,5898.592761840958,5898.592761840958
2016-01-08 20:00:00,5266.860091518638,5266.860091518638
2016-01-08 21:00:00,4995.039443596532,4995.039443596532
2016-01-08 22:00:00,4514.604578204011,4514.604578204011
2016-01-08 23:00:00,4337.807093999527,4337.807093999527
2016-01-09 00:00:00,3903.544918594816,3903.544918594816
2016-01-09 01:00:00,3734.895038949177,3734.895038949177
2016-01-09 02:00:00,3476.884679871938,3476.884679871938
2016-01-09 03:00:00,3306.797830734342,3306.797830734342
2016-01-09 04:00:00,3211.84270438836,3211.84270438836
2016-01-09 05:00:00,3318.434841182598,3318.434841182598
2016-01-09 06:00:00,3519.4593700342275,3519.4593700342275
2016-01-09 07:00:00,3800.412393254326,3800.412393254326
2016-01-09 08:00:00,3971.633027617113,3971.633027617113
2016-01-09 09:00:00,4273.052379499179,4273.052379499179
2016-01-09 10:00:00,4258.377932040652,4258.377932040652
2016-01-09 11:00:00,4233.90260849421,4233.90260849421
2016-01-09 12:00:00,3907.912368089808,3907.912368089808
2016-01-09 13:00:00,3763.365122064638,3763.365122064638
2016-01-09 14:00:00,3787.079815671032,3787.079815671032
2016-01-09 15:00:00,4116.007549254109,4116.007549254109
2016-01-09 16:00:00,4794.107714169687,4794.107714169687
2016-01-09 17:00:00,4891.000392087835,4891.000392087835
2016-01-09 18:00:00,4210.127144969369,4210.127144969369
2016-01-09 19:00:00,4056.154650576578,4056.154650576578
2016-01-09 20:00:00,3526.815298356412,3526.815298356412
2016-01-09 21:00:00,3398.7477766527886,3398.7477766527886
2016-01-09 22:00:00,3301.920060857375,3301.920060857375
2016-01-09 23:00:00,2935.6197938851515,2935.6197938851515
2016-01-10 00:00:00,2927.587297205302,2927.587297205302
2016-01-10 01:00:00,2847.084888892197,2847.084888892197
2016-01-10 02:00:00,2742.3398232710974,2742.3398232710974
2016-01-10 03:00:00,2762.5848674468234,2762.5848674468234
2016-01-10 04:00:00,2743.1972916313066,2743.1972916313066
2016-01-10 05:00:00,2789.3248260333617,2789.3248260333617
2016-01-10 06:00:00,2984.217552945351,2984.217552945351
2016-01-10 07:00:00,3086.2674964611656,3086.2674964611656
2016-01-10 08:00:00,3224.739945096131,3224.739945096131
2016-01-10 09:00:00,3533.422136577284,3533.422136577284
2016-01-10 10:00:00,3582.402608068124,3582.402608068124
2016-01-10 11:00:00,3599.972170703892,3599.972170703892
2016-01-10 12:00:00,3560.1675817192568,3560.1675817192568
2016-01-10 13:00:00,3438.087763408019,3438.087763408019
2016-01-10 14:00:00,3324.3150467944206,3324.3150467944206
2016-01-10 15:00:00,3485.420751961511,3485.420751961511
2016-01-10 16:00:00,4437.500169784331,4437.500169784331
2016-01-10 17:00:00,4740.4073475868545,4740.4073475868545
2016-01-10 18:00:00,4476.07758835479,4476.07758835479
2016-01-10 19:00:00,4182.435070796736,4182.435070796736
2016-01-10 20:00:00,3901.1249683429896,3901.1249683429896
2016-01-10 21:00:00,3952.8928032769227,3952.8928032769227
