,FR,sum
2016-01-01 00:00:00,62623.9986723712,62623.9986723712
2016-01-01 01:00:00,62219.814020522535,62219.814020522535
2016-01-01 02:00:00,60290.02451987573,60290.02451987573
2016-01-01 03:00:00,60025.031278341674,60025.031278341674
2016-01-01 04:00:00,59732.115378071634,59732.115378071634
2016-01-01 05:00:00,60184.55829242637,60184.55829242637
2016-01-01 06:00:00,60177.167275889966,60177.167275889966
2016-01-01 07:00:00,60113.40325250364,60113.40325250364
2016-01-01 08:00:00,62729.56760557444,62729.56760557444
2016-01-01 09:00:00,63923.83317235586,63923.83317235586
2016-01-01 10:00:00,65022.85965909293,65022.85965909293
2016-01-01 11:00:00,64716.70824989249,64716.70824989249
2016-01-01 12:00:00,65165.28782343819,65165.28782343819
2016-01-01 13:00:00,64239.11752178322,64239.11752178322
2016-01-01 14:00:00,64594.85900108919,64594.85900108919
2016-01-01 15:00:00,65357.07108218649,65357.07108218649
2016-01-01 16:00:00,65279.57739514731,65279.57739514731
2016-01-01 17:00:00,68588.8604600586,68588.8604600586
2016-01-01 18:00:00,69075.42748768047,69075.42748768047
2016-01-01 19:00:00,67204.8333636673,67204.8333636673
2016-01-01 20:00:00,66911.66980803365,66911.66980803365
2016-01-01 21:00:00,65614.8305679984,65614.8305679984
2016-01-01 22:00:00,64734.998536989,64734.998536989
2016-01-01 23:00:00,63396.70211697747,63396.70211697747
2016-01-02 00:00:00,61478.9979404535,61478.9979404535
2016-01-02 01:00:00,60435.81034074376,60435.81034074376
2016-01-02 02:00:00,59233.02202725121,59233.02202725121
2016-01-02 03:00:00,58872.03201234897,58872.03201234897
2016-01-02 04:00:00,59116.112531369574,59116.112531369574
2016-01-02 05:00:00,61225.5574828423,61225.5574828423
2016-01-02 06:00:00,61813.1645614168,61813.1645614168
2016-01-02 07:00:00,64756.40378028526,64756.40378028526
2016-01-02 08:00:00,67511.56361319436,67511.56361319436
2016-01-02 09:00:00,66885.66770032956,66885.66770032956
2016-01-02 10:00:00,68163.2820520143,68163.2820520143
2016-01-02 11:00:00,69773.71777893289,69773.71777893289
2016-01-02 12:00:00,68703.2819268857,68703.2819268857
2016-01-02 13:00:00,67788.29129809998,67788.29129809998
2016-01-02 14:00:00,68129.19301504972,68129.19301504972
2016-01-02 15:00:00,68407.23690417255,68407.23690417255
2016-01-02 16:00:00,70023.57641542467,70023.57641542467
2016-01-02 17:00:00,72813.85324439405,72813.85324439405
2016-01-02 18:00:00,72657.4258293366,72657.4258293366
2016-01-02 19:00:00,70408.83477984606,70408.83477984606
