,IT,sum
2016-01-01 00:00:00,19267.9984493499,19267.9984493499
2016-01-01 01:00:00,18066.999295387002,18066.999295387002
2016-01-01 02:00:00,17121.999332242,17121.999332242
2016-01-01 03:00:00,16313.000200649902,16313.000200649902
2016-01-01 04:00:00,16193.9989668228,16193.9989668228
2016-01-01 05:00:00,16703.998947647997,16703.998947647997
2016-01-01 06:00:00,17117.998171797597,17117.998171797597
2016-01-01 07:00:00,17425.000493127503,17425.000493127503
2016-01-01 08:00:00,19023.0008522304,19023.0008522304
2016-01-01 09:00:00,20397.000373265102,20397.000373265102
2016-01-01 10:00:00,21502.0008944832,21502.0008944832
2016-01-01 11:00:00,22139.0007925762,22139.0007925762
2016-01-01 12:00:00,20837.001012678196,20837.001012678196
2016-01-01 13:00:00,19600.00084476,19600.00084476
2016-01-01 14:00:00,19797.999821817997,19797.999821817997
2016-01-01 15:00:00,20639.001506646997,20639.001506646997
2016-01-01 16:00:00,23524.0011197424,23524.0011197424
2016-01-01 17:00:00,23703.999772441603,23703.999772441603
2016-01-01 18:00:00,23371.001047020796,23371.001047020796
2016-01-01 19:00:00,23366.0020935936,23366.0020935936
2016-01-01 20:00:00,22079.00093857829,22079.00093857829
2016-01-01 21:00:00,20974.000525965002,20974.000525965002
2016-01-01 22:00:00,19128.00099618624,19128.00099618624
2016-01-01 23:00:00,18328.0015542144,18328.0015542144
2016-01-02 00:00:00,17173.998832168003,17173.998832168003
2016-01-02 01:00:00,16351.999887171198,16351.999887171198
2016-01-02 02:00:00,16007.9994493248,16007.9994493248
2016-01-02 03:00:00,15823.9997594752,15823.9997594752
2016-01-02 04:00:00,16654.9991422675,16654.9991422675
2016-01-02 05:00:00,18183.9999563584,18183.9999563584
2016-01-02 06:00:00,19656.997880975403,19656.997880975403
2016-01-02 07:00:00,21427.9998371472,21427.9998371472
2016-01-02 08:00:00,24073.9998627782,24073.9998627782
2016-01-02 09:00:00,25100.000404109996,25100.000404109996
2016-01-02 10:00:00,26079.999885248002,26079.999885248002
2016-01-02 11:00:00,26433.001444034788,26433.001444034788
